M62	http://b/hotlists/1917327	Release Manager: rlazo@	Code Freeze January 7, 2020 (Core team will create RC from Rapid next day)
Launchcal Deadline January 10, 2020
Launch January 14, 2020 (go/firebase-m-dates   go/firebase-android-calendar)												
Library Name	External Name	Library Group	Owner	Launching?	OldVersion	NewVersion	Ariane Entry	Release
Note CL	JavaDocs CL	Link to CHANGELOG	Internal Hotlist	Prebuilts Drop Bug	Manual Verification Bug	Javadoc Bug	Fireescape name(if applicable)
			Responsible for making sure this sheet is updated	Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.	Current public version	Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl	Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).	If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.		Required: Text file that is customer-facing descriptions of all changes in the release 	Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized)				
							Firebase tips								
							GMS Core								
firebase-auth-interop		firebase-auth-interop	mdeck						N/A - no ref docs ever						
firebase-auth		firebase_auth	mdeck												
firebase-auth-api	firebase-auth	firebase_auth	mdeck												
firebase-database	firebase-database	firebase_database	mrschmidt	No											firebase-database
firebase_ml_natural_language	firebase-ml-natural-language	firebase_ml_naturallanguage	bauerb												
firebase_ml_language_id	firebase-ml-natural-language-language-id-model	firebase_ml_naturallanguage	bauerb												
predictondevice-api	firebase-ml-natural-language-smart-reply	firebase_ml_naturallanguage	bauerb												
predictondevice	firebase-ml-natural-language-smart-reply-model	firebase_ml_naturallanguage	bauerb												
firebase_ml_translate_api	firebase-ml-natural-language-translate	firebase_ml_naturallanguage_translate	bauerb												
firebase_ml_translate	firebase-ml-natural-language-translate-model	firebase_ml_naturallanguage_translate	bauerb												
firebase_ml_vision	firebase-ml-vision	firebase_ml	songchenxi												
firebase_ml_model_interpreter	firebase-ml-model-interpreter	firebase_ml	songchenxi												
firebase_ml_common	firebase-ml-common	firebase_ml	songchenxi												
firebase_ml_vision_object_detection	firebase-ml-vision-object-detection	firebase_ml	songchenxi												
firebase-ml-vision-automl	firebase-ml-vision-automl	firebase_ml	songchenxi												
firebase-storage-api	firebase-storage	firebase_storage	mrschmidt												firebase-storage
firebase_common	firebase-common	firebase_common	ashwinraghav						N/A - no ref docs ever						firebase-common
firebase_common_ktx	firebase-common	firebase_common	ashwinraghav						N/A - no ref docs ever						firebase-common:ktx
firebase_components	firebase-components	firebase_components	vkryachko						N/A - no ref docs ever						firebase-components
firebase-firestore	firebase-firestore	N/A	wuandy	No											firebase-firestore
firebase-firestore-ktx	firebase-firestore	N/A	wuandy	No											firebase-firestore:ktx
gcm	play-services-gcm	gcm	ciarandowney						N/A - no ref docs ever						
iid	play-services-iid	gcm	ciarandowney						N/A - no ref docs ever						
