M75,http://b/hotlists/2342799,Release Manager: vkryachko@,Code Freeze July 7, 2020  23:59:59 PST(Core team will create RC from Rapid next day)
Launchcal Deadline July 10, 2020
Launch July 16 2020 (go/firebase-m-dates   go/firebase-android-calendar),,,,Automatically Send out RCs at code freeze?,No,firebase/firebase-android-sdk,master,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
firebase-auth-interop,firebase-auth-interop,firebase-auth-interop,mdeck,,19.0.0,,,,N/A - no ref docs ever,,,,,,
firebase-auth,,firebase_auth,mdeck,,,,,,,,,,,,
firebase-auth-api,firebase-auth,firebase_auth,mdeck,,19.3.2,,,,,,,,,,
firebase_auth_ktx,firebase-auth-ktx,,acore,,19.3.2,,,,,,,,,,
firebase-database,firebase-database,firebase_database,mrschmidt,,19.3.1,,,,,,,,,,firebase-database
firebase_ml_natural_language,firebase-ml-natural-language,firebase_ml_naturallanguage,pavelj,Yes - but no functional changes,22.0.0,22.0.1,ariane/4027190,,,,,b/161140950,b/161140595,,
firebase_ml_language_id,firebase-ml-natural-language-language-id-model,firebase_ml_naturallanguage,pavelj,Yes - but no functional changes,20.0.7,,ariane/4027190,,,,,b/161140592,b/161140251,,
predictondevice-api,firebase-ml-natural-language-smart-reply,firebase_ml_naturallanguage,pavelj,Yes - but no functional changes,18.0.7,,ariane/4027190,,,,,b/161141358,b/161140828,,
predictondevice,firebase-ml-natural-language-smart-reply-model,firebase_ml_naturallanguage,pavelj,Yes - but no functional changes,20.0.7,,ariane/4027190,,,,,b/161140543,b/161140956,,
firebase_ml_translate_api,firebase-ml-natural-language-translate,firebase_ml_naturallanguage_translate,pavelj,Yes - but no functional changes,22.0.1,22.0.2,ariane/4027190,,,,,b/161140364,b/161141132,,
firebase_ml_translate,firebase-ml-natural-language-translate-model,firebase_ml_naturallanguage_translate,pavelj,Yes - but no functional changes,20.0.8,20.0.9,ariane/4027190,,,,,b/161140825,b/161140611,,
