,http://b/hotlists/1670250,Release Manager: rlazo@,Code Freeze August 13, 2019 (Core team will create RC from Rapid next day)
Launchcal Deadline August 16, 2019
Launch August 22, 2019 (go/firebase-m-dates   go/firebase-android-calendar),,,,https://docs.google.com/a/google.com/open?id=1Dy1yCUmNwS8EIDbCODC0ifUAt58hq60Ca95lfhmcRdY,,,,,,,,
Library Name,External Name,Library Group,Owner,Launching?,OldVersion,NewVersion,Ariane Entry,Release
Note CL,JavaDocs CL,Link to CHANGELOG,Internal Hotlist,Prebuilts Drop Bug,Manual Verification Bug,Javadoc Bug,Fireescape name(if applicable)
,,,Responsible for making sure this sheet is updated,Yes/No if you intend to ship in this release. Remember, if anyone in your library group is shipping, you are forced to ship as well.,Current public version,Expected new version to go live publicly
https://cs.corp.google.com/piper///depot/google3/java/com/google/android/gmscore/dev/client/XXX/library.bzl,Launchcal for Android launch (contents may reference feature launchcal shared between iOS and Android). Required only for libraries with new features or breaking changes (enter "N/A" if this release is bug fixes only for your library).,If releasing for "internal" reasons only, use the following:

Internal changes to ensure functionality alignment with other SDK releases.,,Required: Text file that is customer-facing descriptions of all changes in the release ,Buganizer hotlist, Critique query, or other list depending on team's tracking and devleopment process that lists all changes in a release (different from Changelog in that this is for internal use by QA and Core team and must be complete, whereas Changelog may be sanitized/summarized),,,,
,,,,,,,Firebase tips,,,,,,,,
,,,,,,,GMS Core,,,,,,,,
firebase-auth-interop,,firebase-auth-interop,mdeck,,,,,,N/A - no ref docs ever,,,,,,
firebase-auth,,firebase_auth,mdeck,,,,,,,,,,,,
firebase-auth-api,firebase-auth,firebase_auth,mdeck,,,,,,,,,,,,
firebase-database,firebase-database,firebase_database,mrschmidt,,,,,,,,,,,,firebase-database
firebase_ml_natural_language,firebase-ml-natural-language,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,21.0.0,21.0.1,,cl/264988504,cl/264865011,,,,,,
firebase_ml_language_id,firebase-ml-natural-language-language-id-model,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,20.0.3,20.0.4,,cl/264988504,cl/264865011,,,,,,
predictondevice-api,firebase-ml-natural-language-smart-reply,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,18.0.3,18.0.4,,,,,,,,,
predictondevice,firebase-ml-natural-language-smart-reply-model,firebase_ml_naturallanguage,bauerb,Yes - but no functional changes,20.0.3,20.0.4,,cl/264988504,cl/264865011,,,,,,
firebase_ml_translate_api,firebase-ml-natural-language-translate,firebase_ml_naturallanguage_translate,bauerb,Yes - but no functional changes,21.0.0,21.0.1,,,,,,,,,
firebase_ml_translate,firebase-ml-natural-language-translate-model,firebase_ml_naturallanguage_translate,bauerb,Yes - but no functional changes,20.0.3,20.0.4,,cl/264988504,cl/264865011,,,,,,
firebase_ml_vision,firebase-ml-vision,firebase_ml,songchenxi,,,,,,,,,,,,
firebase_ml_model_interpreter,firebase-ml-model-interpreter,firebase_ml,songchenxi,,,,,,,,,,,,
firebase_ml_common,firebase-ml-common,firebase_ml,songchenxi,,,,,,,,,,,,
